Notes,Jurisdiction,Jurisdiction_Long,GearType,Stakeholders,Index,Species,RPC-,DirectImpacts-PersonalIncomeMultipliers_000_2006,IndirectImpacts-PersonalIncomeMultipliers_000_2006,InducedImpacts-PersonalIncomeMultipliers_000_2006,TotalImpacts-PersonalIncomeMultipliers_000_2006,DirectImpacts-OutputMultipliers_000_2006,IndirectImpacts-OutputMultipliers_000_2006,InducedImpacts-OutputMultipliers_000_2006,TotalImpacts-OutputMultipliers_000_2006,DirectImpacts-EmploymentMultipliers_000_2006,IndirectImpacts-EmploymentMultipliers_000_2006,InducedImpacts-EmploymentMultipliers_000_2006,TotalImpacts-EmploymentMultipliers_000_2006,DirectImpacts-PersonalIncomeImpacts_000_2006,IndirectImpacts-PersonalIncomeImpacts_000_2006,InducedImpacts-PersonalIncomeImpacts_000_2006,TotalImpacts-PersonalIncomeImpacts_000_2006,DirectImpacts-OutputImpacts_000_2006,IndirectImpacts-OutputImpacts_000_2006,InducedImpacts-OutputImpacts_000_2006,TotalImpacts-OutputImpacts_000_2006,DirectImpacts-EmploymentImpacts_Full-part-timejobs,IndirectImpacts-EmploymentImpacts_Full-part-timejobs,InducedImpacts-EmploymentImpacts_Full-part-timejobs,TotalImpacts-EmploymentImpacts_Full-part-timejobs,DirectImpacts-ValueAdded,IndirectImpacts-ValueAdded,InducedImpacts-ValueAdded,TotalImpacts-ValueAdded
,US,United States,,Processors,2, Crab ,0.83,0.4,0.21,0.38,0.99,1,0.66,1.23,2.89,6.84,3.47,7.68,17.99,179917,95063,172657,447636,450073,299070,552743,1301886,3079,1560,3456,8096,3079,1560,3456,8096
,US,United States,,Processors,3, Lobster ,0.82,0.34,0.28,0.37,0.99,1,0.84,1.19,3.04,6.84,5.07,7.46,19.36,137646,114642,150941,403229,405289,341897,483579,1230766,2773,2053,3022,7848,2773,2053,3022,7848
,US,United States,,Processors,4, East Coast Groundfish  ,0.82,0.34,0.28,0.37,0.99,1,0.84,1.19,3.04,6.84,5.07,7.46,19.36,34506,28739,37838,101083,101599,85708,121225,308532,695,515,758,1967,695,515,758,1967
,US,United States,,Processors,5, HMS  ,0.84,0.4,0.21,0.38,1,1,0.67,1.23,2.9,6.84,3.5,7.7,18.05,43076,23063,41474,107614,107758,72298,132779,312835,737,378,830,1945,737,378,830,1945
,US,United States,,Processors,6, Reef Fish ,0.82,0.34,0.28,0.37,0.99,1,0.84,1.19,3.04,6.84,5.07,7.46,19.36,23029,19180,25253,67463,67807,57201,80905,205914,464,343,506,1313,464,343,506,1313
,US,United States,,Processors,7, West Coast Groundfish  ,0.84,0.4,0.21,0.38,1,1,0.67,1.23,2.9,6.84,3.5,7.7,18.05,211711,113350,203839,528899,529608,355332,652582,1537522,3623,1855,4080,9559,3623,1855,4080,9559
,US,United States,,Processors,8,West Coast Whiting,0.84,0.4,0.21,0.38,1,1,0.67,1.23,2.9,6.84,3.5,7.7,18.05,15159,8116,14595,37869,37920,25442,46725,110087,259,133,292,684,259,133,292,684
,US,United States,,Processors,9, Halibut ,0.84,0.4,0.21,0.38,1,1,0.67,1.23,2.9,6.84,4.62,7.7,19.17,30778,16478,29633,76890,76993,51657,94871,223521,527,356,593,1476,527,356,593,1476
,US,United States,,Processors,10, Menhaden & Industrial ,0.82,0.34,0.28,0.37,0.99,1,0.84,1.19,3.04,6.84,5.07,7.46,19.36,24925,20760,27333,73018,73390,61911,87567,222869,502,372,547,1421,502,372,547,1421
,US,United States,,Processors,11, Salmon ,0.84,0.4,0.21,0.38,1,1,0.67,1.23,2.9,6.84,3.5,7.7,18.05,182137,97516,175365,455017,455627,305696,561423,1322746,3117,1596,3510,8224,3117,1596,3510,8224
,US,United States,,Processors,12, Sea Scallop ,0.82,0.34,0.28,0.37,0.99,1,0.84,1.19,3.04,6.84,5.07,7.46,19.36,92777,77271,101738,271786,273175,230447,325944,829566,1869,1384,2037,5290,1869,1384,2037,5290
,US,United States,,Processors,13,Pelagic Herring and Mackerel,0.82,0.34,0.28,0.37,0.99,1,0.84,1.19,3.04,6.84,5.07,7.46,19.36,9934,8274,10893,29100,29249,24674,34899,88823,200,148,218,566,200,148,218,566
,US,United States,,Processors,14, Surf Clam/Ocean Quahog  ,0.82,0.34,0.28,0.37,0.99,1,0.84,1.19,3.04,6.84,5.07,7.46,19.36,9350,7787,10253,27389,27529,23223,32847,83600,188,139,205,533,188,139,205,533
,US,United States,,Processors,15, Other Trawl  ,0.82,0.34,0.28,0.37,0.99,1,0.84,1.19,3.04,6.84,5.07,7.46,19.36,39464,32868,43276,115608,116199,98024,138645,352867,795,589,867,2250,795,589,867,2250
,US,United States,,Processors,16, All Other Finfish   ,0.82,0.34,0.28,0.37,0.99,1,0.84,1.19,3.04,6.84,5.07,7.46,19.36,12364,10298,13558,36220,36405,30711,43438,110554,249,184,271,705,249,184,271,705
,US,United States,,Processors,17, All Other Shellfish   ,0.82,0.34,0.28,0.37,0.99,1,0.84,1.19,3.04,6.84,5.07,7.46,19.36,98267,81844,107759,287870,289340,244084,345232,878656,1980,1466,2158,5603,1980,1466,2158,5603
,US,United States,,Processors,18, Freshwater  ,0.82,0.34,0.28,0.37,0.99,1,0.84,1.19,3.04,6.84,5.07,7.46,19.36,9843,8198,10794,28835,28983,24450,34581,88014,198,147,216,561,198,147,216,561
,US,United States,,Processors,19, Inshore and Miscellaneous ,0.82,0.34,0.28,0.37,0.99,1,0.84,1.19,3.04,6.84,5.07,7.46,19.36,7655,6376,8395,22426,22540,19015,26895,68450,154,114,168,436,154,114,168,436
,US,United States,,Processors,20, Bait ,0.82,0.34,0.28,0.37,0.99,1,0.84,1.19,3.04,6.84,5.07,7.46,19.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,US,United States,,Processors,Mark-up on seafood inputs,62.70%,,,,,NA,,,,NA,,,,NA,,,,,,,,,,,,,,,,
,US,United States,,Wholesalers,1, Shrimp ,0.87,0.75,0.36,0.34,1.44,1,1.05,1.08,3.13,10.65,6.13,6.76,23.53,312626,150143,141036,603805,417949,437407,452373,1307730,4450,2560,2825,9836,4450,2560,2825,9836
,US,United States,,Wholesalers,2, Crab ,0.87,0.75,0.36,0.34,1.44,1,1.05,1.08,3.13,10.65,6.12,6.76,23.53,272472,130803,122896,526170,364267,381058,394189,1139515,3879,2231,2462,8571,3879,2231,2462,8571
,US,United States,,Wholesalers,3, Lobster ,0.87,0.75,0.36,0.34,1.44,1,1.05,1.08,3.13,10.65,6.13,6.76,23.53,249627,119887,112615,482128,333726,349263,361213,1044202,3554,2044,2256,7854,3554,2044,2256,7854
,US,United States,,Wholesalers,4, East Coast Groundfish  ,0.87,0.75,0.36,0.34,1.44,1,1.05,1.08,3.13,10.65,6.13,6.76,23.53,62577,30054,28231,120862,83660,87554,90550,261764,891,512,566,1969,891,512,566,1969
,US,United States,,Wholesalers,5, HMS  ,0.87,0.75,0.36,0.34,1.44,1,1.05,1.08,3.13,10.65,6.13,6.76,23.53,64893,31166,29275,125335,86756,90795,93901,271452,924,531,586,2042,924,531,586,2042
,US,United States,,Wholesalers,6, Reef Fish ,0.87,0.75,0.36,0.34,1.44,1,1.05,1.08,3.13,10.65,6.13,6.76,23.53,41764,20058,18841,80663,55834,58434,60433,174701,595,342,377,1314,595,342,377,1314
,US,United States,,Wholesalers,7, West Coast Groundfish  ,0.87,0.75,0.36,0.34,1.44,1,1.05,1.08,3.13,10.65,6.13,6.76,23.53,318938,153174,143883,615995,426388,446238,461506,1334132,4540,2612,2882,10035,4540,2612,2882,10035
,US,United States,,Wholesalers,8,West Coast Whiting,0.87,0.75,0.36,0.34,1.44,1,1.05,1.08,3.13,10.65,6.13,6.76,23.53,22836,10967,10302,44105,30529,31951,33044,95524,325,187,206,718,325,187,206,718
,US,United States,,Wholesalers,9, Halibut ,0.87,0.75,0.36,0.34,1.44,1,1.05,1.08,3.13,10.65,6.13,6.76,23.53,46366,22268,20917,89552,61987,64873,67092,193952,660,380,419,1459,660,380,419,1459
,US,United States,,Wholesalers,10, Menhaden & Industrial ,0.87,0.75,0.36,0.34,1.44,1,1.05,1.08,3.13,10.65,6.13,6.76,23.53,45203,21709,20392,87305,60432,63245,65409,189086,643,370,409,1422,643,370,409,1422
,US,United States,,Wholesalers,11, Salmon ,0.87,0.75,0.36,0.34,1.44,1,1.05,1.08,3.13,10.65,6.13,6.76,23.53,274386,131777,123784,529947,366826,383903,397039,1147768,3906,2247,2480,8633,3906,2247,2480,8633
,US,United States,,Wholesalers,12, Sea Scallop ,0.87,0.75,0.36,0.34,1.44,1,1.05,1.08,3.13,10.65,6.13,6.76,23.53,168255,80806,75905,324966,224939,235411,243466,703817,2395,1378,1521,5294,2395,1378,1521,5294
,US,United States,,Wholesalers,13,Pelagic Herring and Mackerel,0.87,0.75,0.36,0.34,1.44,1,1.05,1.08,3.13,10.65,6.13,6.76,23.53,18015,8652,8127,34795,24085,25206,26068,75359,256,148,163,567,256,148,163,567
,US,United States,,Wholesalers,14, Surf Clam/Ocean Quahog  ,0.87,0.75,0.36,0.34,1.44,1,1.05,1.08,3.13,10.65,6.13,6.76,23.53,16956,8143,7649,32749,22668,23724,24535,70928,241,139,153,533,241,139,153,533
,US,United States,,Wholesalers,15, Other Trawl  ,0.87,0.75,0.36,0.34,1.44,1,1.05,1.08,3.13,10.65,6.13,6.76,23.53,71569,34372,32287,138229,95681,100136,103562,299378,1019,586,647,2252,1019,586,647,2252
,US,United States,,Wholesalers,16, All Other Finfish   ,0.87,0.75,0.36,0.34,1.44,1,1.05,1.08,3.13,10.65,6.13,6.76,23.53,22423,10769,10116,43307,29977,31373,32446,93796,319,184,203,705,319,184,203,705
,US,United States,,Wholesalers,17, All Other Shellfish   ,0.87,0.75,0.36,0.34,1.44,1,1.05,1.08,3.13,10.65,6.13,6.76,23.53,178211,85588,80397,344196,238250,249342,257874,745466,2537,1460,1611,5607,2537,1460,1611,5607
,US,United States,,Wholesalers,18, Freshwater  ,0.87,0.75,0.36,0.34,1.44,1,1.05,1.08,3.13,10.65,6.13,6.76,23.53,17851,8573,8053,34478,23865,24976,25831,74672,254,146,161,562,254,146,161,562
,US,United States,,Wholesalers,19, Inshore and Miscellaneous ,0.87,0.75,0.36,0.34,1.44,1,1.05,1.08,3.13,10.65,6.13,6.76,23.53,13883,6668,6263,26814,18560,19425,20089,58074,198,114,125,437,198,114,125,437
,US,United States,,Wholesalers,20, Bait ,0.87,0.75,0.36,0.34,1.44,1,1.05,1.08,3.13,10.65,6.13,6.76,23.53,3280,1575,1480,6335,4385,4589,4746,13720,47,27,30,103,47,27,30,103
,US,United States,,Wholesalers,Mark-up on seafood inputs,33.40%,,,,,NA,,,,NA,,,,NA,,,,,,,,,,,,,,,,
,US,United States,,Grocers,1, Shrimp ,0.82,0.88,0.24,0.38,1.49,1,0.64,1.21,2.85,34.42,3.66,7.58,45.66,165163,44488,71257,280908,188185,120263,228170,536618,6478,689,1426,8593,6478,689,1426,8593
,US,United States,,Grocers,2, Crab ,0.82,0.88,0.24,0.38,1.49,1,0.64,1.21,2.85,34.42,3.66,7.58,45.66,137437,37020,59295,233752,156595,100074,189867,446536,5390,573,1187,7151,5390,573,1187,7151
,US,United States,,Grocers,3, Lobster ,0.82,0.88,0.24,0.38,1.49,1,0.64,1.21,2.85,34.42,3.66,7.58,45.66,125879,33907,54309,214094,143426,91658,173900,408984,4937,525,1087,6549,4937,525,1087,6549
,US,United States,,Grocers,4, East Coast Groundfish  ,0.82,0.88,0.24,0.38,1.49,1,0.64,1.21,2.85,34.42,3.66,7.58,45.66,31556,8500,13614,53670,35954,22977,43594,102526,1238,132,273,1642,1238,132,273,1642
,US,United States,,Grocers,5, HMS  ,0.82,0.88,0.24,0.38,1.49,1,0.64,1.21,2.85,34.42,3.66,7.58,45.66,32724,8814,14118,55656,37285,23828,45207,106320,1283,137,283,1703,1283,137,283,1703
,US,United States,,Grocers,6, Reef Fish ,0.82,0.88,0.24,0.38,1.49,1,0.64,1.21,2.85,34.42,3.66,7.58,45.66,21060,5673,9086,35819,23996,15335,29094,68425,826,88,182,1096,826,88,182,1096
,US,United States,,Grocers,7, West Coast Groundfish  ,0.82,0.88,0.24,0.38,1.49,1,0.64,1.21,2.85,34.42,3.66,7.58,45.66,160830,43321,69388,273539,183249,117108,222185,522542,6308,671,1389,8368,6308,671,1389,8368
,US,United States,,Grocers,8,West Coast Whiting,0.82,0.88,0.24,0.38,1.49,1,0.64,1.21,2.85,34.42,3.66,7.58,45.66,11515,3102,4968,19585,13121,8385,15908,37414,452,48,99,599,452,48,99,599
,US,United States,,Grocers,9, Halibut ,0.82,0.88,0.24,0.38,1.49,1,0.64,1.21,2.85,34.42,3.66,7.58,45.66,23381,6298,10087,39766,26640,17025,32301,75966,917,98,202,1216,917,98,202,1216
,US,United States,,Grocers,10, Menhaden & Industrial ,0.82,0.88,0.24,0.38,1.49,1,0.64,1.21,2.85,34.42,3.66,7.58,45.66,22794,6140,9834,38769,25972,16598,31490,74060,894,95,197,1186,894,95,197,1186
,US,United States,,Grocers,11, Salmon ,0.82,0.88,0.24,0.38,1.49,1,0.64,1.21,2.85,34.42,3.66,7.58,45.66,138364,37270,59695,235329,157651,100749,191148,449548,5427,577,1195,7199,5427,577,1195,7199
,US,United States,,Grocers,12, Sea Scallop ,0.82,0.88,0.24,0.38,1.49,1,0.64,1.21,2.85,34.42,3.66,7.58,45.66,84845,22854,36605,144305,96672,61780,117213,275665,3328,354,733,4414,3328,354,733,4414
,US,United States,,Grocers,13,Pelagic Herring and Mackerel,0.82,0.88,0.24,0.38,1.49,1,0.64,1.21,2.85,34.42,3.66,7.58,45.66,9085,2447,3919,15451,10351,6615,12550,29516,356,38,78,473,356,38,78,473
,US,United States,,Grocers,14, Surf Clam/Ocean Quahog  ,0.82,0.88,0.24,0.38,1.49,1,0.64,1.21,2.85,34.42,3.66,7.58,45.66,8550,2303,3689,14542,9742,6226,11812,27780,335,36,74,445,335,36,74,445
,US,United States,,Grocers,15, Other Trawl  ,0.82,0.88,0.24,0.38,1.49,1,0.64,1.21,2.85,34.42,3.66,7.58,45.66,36090,9721,15571,61382,41121,26279,49858,117258,1415,151,312,1878,1415,151,312,1878
,US,United States,,Grocers,16, All Other Finfish   ,0.82,0.88,0.24,0.38,1.49,1,0.64,1.21,2.85,34.42,3.66,7.58,45.66,11307,3046,4878,19231,12883,8233,15621,36737,443,47,98,588,443,47,98,588
,US,United States,,Grocers,17, All Other Shellfish   ,0.82,0.88,0.24,0.38,1.49,1,0.64,1.21,2.85,34.42,3.66,7.58,45.66,89866,24206,38771,152844,102393,65436,124149,291978,3525,375,776,4676,3525,375,776,4676
,US,United States,,Grocers,18, Freshwater  ,0.82,0.88,0.24,0.38,1.49,1,0.64,1.21,2.85,34.42,3.66,7.58,45.66,9002,2425,3884,15310,10257,6555,12436,29247,353,38,78,468,353,38,78,468
,US,United States,,Grocers,19, Inshore and Miscellaneous ,0.82,0.88,0.24,0.38,1.49,1,0.64,1.21,2.85,34.42,3.66,7.58,45.66,7001,1886,3020,11907,7977,5098,9672,22746,275,29,60,364,275,29,60,364
,US,United States,,Grocers,20, Bait ,0.82,0.88,0.24,0.38,1.49,1,0.64,1.21,2.85,34.42,3.66,7.58,45.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,US,United States,,Grocers,Mark-up on seafood inputs,182.40%,,,,,NA,,,,NA,,,,NA,,,,,,,,,,,,,,,,
,US,United States,,Restaurants,1, Shrimp ,0.91,0.56,0.23,0.41,1.2,1,0.67,1.32,2.99,26.97,3.79,8.25,39,919082,373761,676181,1969025,1641219,1106309,2164667,4912195,44266,6214,13536,64015,44266,6214,13536,64015
,US,United States,,Restaurants,2, Crab ,0.91,0.56,0.23,0.41,1.2,1,0.67,1.32,2.99,26.97,3.79,8.25,39,778112,316433,572467,1667012,1389485,936621,1832646,4158751,37476,5261,11459,54197,37476,5261,11459,54197
,US,United States,,Restaurants,3, Lobster ,0.91,0.56,0.23,0.41,1.2,1,0.67,1.32,2.99,26.97,3.79,8.25,39,712675,289822,524325,1526822,1272635,857854,1678527,3809016,34325,4819,10496,49639,34325,4819,10496,49639
,US,United States,,Restaurants,4, East Coast Groundfish  ,0.91,0.56,0.23,0.41,1.2,1,0.67,1.32,2.99,26.97,3.79,8.25,39,178656,72654,131439,382749,319028,215050,420779,954857,8605,1208,2631,12444,8605,1208,2631,12444
,US,United States,,Restaurants,5, HMS  ,0.91,0.56,0.23,0.41,1.2,1,0.67,1.32,2.99,26.97,3.79,8.25,39,185268,75343,136304,396915,330836,223009,436352,990197,8923,1253,2728,12904,8923,1253,2728,12904
,US,United States,,Restaurants,6, Reef Fish ,0.91,0.56,0.23,0.41,1.2,1,0.67,1.32,2.99,26.97,3.79,8.25,39,119235,48489,87722,255446,212919,143524,280827,637269,5743,806,1756,8305,5743,806,1756,8305
,US,United States,,Restaurants,7, West Coast Groundfish  ,0.91,0.56,0.23,0.41,1.2,1,0.67,1.32,2.99,26.97,3.79,8.25,39,910555,370293,669908,1950756,1625991,1096044,2144583,4866619,43855,6156,13410,63422,43855,6156,13410,63422
,US,United States,,Restaurants,8,West Coast Whiting,0.91,0.56,0.23,0.41,1.2,1,0.67,1.32,2.99,26.97,3.79,8.25,39,65196,26513,47966,139675,116421,78477,153553,348451,3140,441,960,4541,3140,441,960,4541
,US,United States,,Restaurants,9, Halibut ,0.91,0.56,0.23,0.41,1.2,1,0.67,1.32,2.99,26.97,3.79,8.25,39,132374,53832,97389,283595,236382,159340,311773,707495,6376,895,1950,9220,6376,895,1950,9220
,US,United States,,Restaurants,10, Menhaden & Industrial ,0.91,0.56,0.23,0.41,1.2,1,0.67,1.32,2.99,26.97,3.79,8.25,39,129053,52482,94946,276480,230451,155342,303951,689744,6216,873,1901,8989,6216,873,1901,8989
,US,United States,,Restaurants,11, Salmon ,0.91,0.56,0.23,0.41,1.2,1,0.67,1.32,2.99,26.97,3.79,8.25,39,783360,318567,576329,1678256,1398857,942938,1845007,4186802,37729,5296,11537,54562,37729,5296,11537,54562
,US,United States,,Restaurants,12, Sea Scallop ,0.91,0.56,0.23,0.41,1.2,1,0.67,1.32,2.99,26.97,3.79,8.25,39,480360,195347,353407,1029115,857786,578214,1131367,2567368,23136,3248,7074,33458,23136,3248,7074,33458
,US,United States,,Restaurants,13,Pelagic Herring and Mackerel,0.91,0.56,0.23,0.41,1.2,1,0.67,1.32,2.99,26.97,3.79,8.25,39,51433,20916,37840,110189,91844,61910,121137,274891,2477,348,757,3582,2477,348,757,3582
,US,United States,,Restaurants,14, Surf Clam/Ocean Quahog  ,0.91,0.56,0.23,0.41,1.2,1,0.67,1.32,2.99,26.97,3.79,8.25,39,48409,19686,35615,103710,86444,58270,114014,258728,2332,327,713,3372,2332,327,713,3372
,US,United States,,Restaurants,15, Other Trawl  ,0.91,0.56,0.23,0.41,1.2,1,0.67,1.32,2.99,26.97,3.79,8.25,39,204328,83094,150327,437748,364871,245952,481243,1092066,9841,1381,3009,14232,9841,1381,3009,14232
,US,United States,,Restaurants,16, All Other Finfish   ,0.91,0.56,0.23,0.41,1.2,1,0.67,1.32,2.99,26.97,3.79,8.25,39,64016,26033,47098,137148,114315,77057,150775,342147,3083,433,943,4459,3083,433,943,4459
,US,United States,,Restaurants,17, All Other Shellfish   ,0.91,0.56,0.23,0.41,1.2,1,0.67,1.32,2.99,26.97,3.79,8.25,39,508786,206907,374321,1090014,908547,612431,1198318,2719296,24505,3440,7493,35438,24505,3440,7493,35438
,US,United States,,Restaurants,18, Freshwater  ,0.91,0.56,0.23,0.41,1.2,1,0.67,1.32,2.99,26.97,3.79,8.25,39,50964,20726,37495,109185,91008,61346,120034,272388,2455,345,751,3550,2455,345,751,3550
,US,United States,,Restaurants,19, Inshore and Miscellaneous ,0.91,0.56,0.23,0.41,1.2,1,0.67,1.32,2.99,26.97,3.79,8.25,39,39636,16119,29161,84915,70779,47710,93353,211841,1909,268,584,2761,1909,268,584,2761
,US,United States,,Restaurants,20, Bait ,0.91,0.56,0.23,0.41,1.2,1,0.67,1.32,2.99,26.97,3.79,8.25,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,US,United States,,Restaurants,,,,,,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,
,AL,Alabama,,Harvesters,1, Shrimp ,0.59,0.3,0.2,0.11,0.61,1,0.92,0.36,2.29,28.54,3.29,2.67,34.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,AL,Alabama,,Harvesters,2, Crab ,0.69,0.46,0.23,0.16,0.85,1,0.69,0.51,2.2,28.54,4.11,3.76,36.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,AL,Alabama,,Harvesters,3, Lobster ,0.51,0.22,0.3,0.11,0.64,1,1.02,0.38,2.39,28.54,5.54,2.8,36.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
